pop,easting,northing,geometry,elev,site,lat_dd
SouthLower,452901.5402,4434080.489,"c(452901.540155861, 4434080.48914898)",3425,niwot,40.05565516
SouthUpper,452852.2935,4434305.495,"c(452852.293472703, 4434305.49536727)",3486,niwot,40.05767956
NorthLower,452893.4248,4434888.983,"c(452893.424839918, 4434888.9831699)",3422,niwot,40.06293867
TopUpper,452813.7952,4434342.693,"c(452813.795235919, 4434342.69271049)",3493,niwot,40.05801253
TopLower,453200.5247,4434875.115,"c(453200.524703609, 4434875.11466544)",3392,niwot,40.06283084
NorthUpper,452737.2173,4434454.022,"c(452737.217268711, 4434454.02190853)",3481,niwot,40.05901123
NorthWest,424428.7074,4404522.379,"c(424428.707435497, 4404522.37881904)",3706,jones,39.78729865
SouthWest,424395.8893,4404485.278,"c(424395.889307959, 4404485.27820618)",3707,jones,39.7869615
NorthEast,424571.8997,4404452.066,"c(424571.899716566, 4404452.0659301)",3721,jones,39.7866779
SouthEast,424688.9981,4404373.901,"c(424688.998145725, 4404373.90052603)",3710,jones,39.78598408
TopEast,424880.5552,4404326.091,"c(424880.55523075, 4404326.0910783)",3707,jones,39.78557029
TopSouth,424750.4806,4404363.379,"c(424750.48062232, 4404363.37911629)",3712,jones,39.78589473
SouthUpper,435853.6957,4383134.054,"c(435853.695720635, 4383134.05380584)",3878,guanella,39.59553829
NorthUpper,436196.1038,4383360.873,"c(436196.103794412, 4383360.87290602)",3874,guanella,39.59760743
SouthLower,436674.0655,4381934.356,"c(436674.065503546, 4381934.35592262)",3651,guanella,39.58479042
NorthLower,436843.9313,4381935.746,"c(436843.931346046, 4381935.74620006)",3645,guanella,39.58481548
TopLower,436733.8439,4381931.021,"c(436733.84386847, 4381931.02083509)",3650,guanella,39.58476479
TopUpper,436298.2629,4383332.795,"c(436298.262909595, 4383332.79522273)",3871,guanella,39.59736206