pop,site,easting,northing,elev,lat_dd,pop_slp,pop_asp,pop_est,pop_nrt,aspect.cat
SouthWest,jones,424395.8893,4404485.278,3707,39.7869615,15.48600368,207.2042499,-0.45491579,-0.884948603,south
NorthWest,jones,424428.7074,4404522.379,3706,39.78729865,20.45502498,70.79641715,0.091153513,0.990217801,north
NorthEast,jones,424571.8997,4404452.066,3721,39.7866779,22.65832079,23.78282293,0.267510196,0.957753962,north
SouthEast,jones,424688.9981,4404373.901,3710,39.78598408,12.56029187,202.1145686,-0.38150466,-0.837542203,south
TopWest,jones,424750.4806,4404363.379,3712,39.78589473,6.050271244,161.7241831,0.126016402,-0.225172763,top
TopEast,jones,424880.5552,4404326.091,3707,39.78557029,6.853215672,154.9620686,0.243322003,0.246105987,top
SouthUpper,guanella,435853.6957,4383134.054,3878,39.59553829,12.90970665,156.2458354,0.385963084,-0.882040062,south
NorthUpper,guanella,436196.1038,4383360.873,3874,39.59760743,23.71857752,113.276834,0.052956929,0.993841155,south
TopUpper,guanella,436298.2629,4383332.795,3871,39.59736206,3.65259472,63.92218675,0.78959204,0.397279538,top
SouthLower,guanella,436674.0655,4381934.356,3651,39.58479042,2.853596347,145.7384661,0.472732031,-0.714667927,south
TopLower,guanella,436733.8439,4381931.021,3650,39.58476479,3.457371371,106.0339007,0.77499563,-0.15464015,top
NorthLower,guanella,436843.9313,4381935.746,3645,39.58481548,11.7068293,26.03663815,0.434652345,0.890003716,north
NorthUpper,niwot,452737.2173,4434454.022,3481,40.05901123,20.03256482,309.1610697,-0.772764875,0.629343203,north
TopUpper,niwot,452813.7952,4434342.693,3493,40.05801253,5.861620888,145.5369343,0.532755789,-0.788478803,top
SouthUpper,niwot,452852.2935,4434305.495,3486,40.05767956,10.85803158,142.4917664,0.601932841,-0.78385352,south
NorthLower,niwot,452893.4248,4434888.983,3422,40.06293867,13.01782922,75.73292435,0.094890437,0.98736088,north
SouthLower,niwot,452901.5402,4434080.489,3425,40.05565516,14.88985272,149.5273114,0.501881253,-0.852977954,south
TopLower,niwot,453200.5247,4434875.115,3392,40.06283084,5.651634809,55.30003521,0.77340698,0.539995111,top